Strain,Condition,Day,Raw,CFU/mL,tnt/cnt/no_growth,Replicate,Dilution
FSL R9-6232,M9,7,3.70E+06,1.11E+08,cnt,2,4
APC,M9,0,7.00E+01,2.10E+03,cnt,2,0
APC,M9,1,1.60E+03,4.80E+04,cnt,2,1
APC,M9,3,2.00E+03,6.00E+04,cnt,2,1
APC,M9,4,5.50E+03,1.65E+05,cnt,2,1
APC,M9,7,4.30E+03,1.29E+05,cnt,2,1
FSL R9-5272,M9,Inoculum,7.30E+07,2.19E+07,cnt,3,6
FSL R9-5400,M9,Inoculum,5.75E+07,1.73E+07,cnt,3,6
FSL R9-5502,M9,Inoculum,8.75E+07,2.63E+07,cnt,3,6
FSL R9-5344,M9,Inoculum,7.65E+07,2.30E+07,cnt,3,6
FSL R9-6232,M9,Inoculum,5.95E+07,1.79E+07,cnt,3,6
FSL R9-5272,M9,0,1.12E+04,3.36E+05,cnt,3,2
FSL R9-5400,M9,0,4.52E+04,1.36E+06,cnt,3,2
FSL R9-5502,M9,0,2.89E+04,8.67E+05,cnt,3,2
FSL R9-5344,M9,0,4.90E+04,1.47E+06,cnt,3,3
FSL R9-6232,M9,0,1.24E+04,3.72E+05,cnt,3,2
FSL R9-5272,M9,1,7.30E+04,2.19E+06,cnt,3,3
FSL R9-5400,M9,1,6.90E+04,2.07E+06,cnt,3,3
FSL R9-5502,M9,1,1.11E+05,3.33E+06,cnt,3,3
FSL R9-5344,M9,1,1.77E+05,5.31E+06,cnt,3,3
FSL R9-6232,M9,1,1.57E+05,4.71E+06,cnt,3,3
FSL R9-5272,M9,3,6.90E+05,2.07E+07,cnt,3,3
FSL R9-5400,M9,3,8.90E+05,2.67E+07,cnt,3,3
FSL R9-5502,M9,3,7.60E+05,2.28E+07,cnt,3,3
FSL R9-5344,M9,3,7.60E+05,2.28E+07,cnt,3,3
FSL R9-6232,M9,3,1.49E+06,4.47E+07,cnt,3,3
FSL R9-5272,M9,4,4.80E+05,1.44E+07,cnt,3,3
FSL R9-5400,M9,4,1.17E+06,3.51E+07,cnt,3,3
FSL R9-5502,M9,4,4.60E+05,1.38E+07,cnt,3,3
FSL R9-5344,M9,4,8.50E+05,2.55E+07,cnt,3,3
FSL R9-6232,M9,4,1.25E+06,3.75E+07,cnt,3,3
FSL R9-5272,M9,7,1.62E+06,4.86E+07,cnt,3,3
FSL R9-5400,M9,7,5.20E+05,1.56E+07,cnt,3,3
FSL R9-5502,M9,7,1.60E+06,4.80E+07,cnt,3,3
FSL R9-5344,M9,7,6.40E+05,1.92E+07,cnt,3,3
FSL R9-6232,M9,7,6.80E+05,2.04E+07,cnt,3,3
APC,M9,0,9.90E+02,2.97E+04,cnt,3,1
APC,M9,1,4.65E+03,1.40E+05,cnt,3,2
APC,M9,3,4.80E+04,1.44E+06,cnt,3,2
